index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
animation_22.jpg7,animation_22,7,#e0c59b,224,197,155,84.54780314,36.85601964,25.02751267,31.37815266,72.33545657,91.97930776,46.19002265,75.97333034,69.79171326,107.2476203,56.50766297,65.22987193,120.5173096,160.1463837,58.40541658,97.06560381,129.2876308,51.76469057
animation_22.jpg8,animation_22,8,#e1ac64,225,172,100,86.74729691,49.84849534,45.72016553,52.5402843,60.99944049,75.44214423,35.00763168,64.46928853,68.99856449,105.9080769,70.93377826,84.95710067,129.8496788,171.5805238,37.06216674,103.4925972,136.9745778,39.51907257
animation_22.jpg9,animation_22,9,#9da293,157,162,147,66.38749208,14.92742499,14.61206664,35.21011352,73.12927762,104.5553776,52.09990331,94.27844944,66.54801634,113.6351766,33.80516508,54.63637278,103.3245227,146.2173338,77.76047488,85.09819281,123.4069203,53.94595396
animation_22.jpg10,animation_22,10,#2e7888,46,120,136,52.19947037,24.31701908,38.79706643,58.17947752,87.19581608,128.0338849,72.48641176,121.0507692,73.81588353,127.0605412,13.47217078,53.97655932,88.19223222,134.4586943,106.8966869,80.99248094,124.9932595,72.10791876
animation_23.jpg1,animation_23,1,#c48388,196,131,136,67.03121586,27.93814429,31.36236906,46.96970671,52.11140066,81.10056836,63.197851,105.1578782,89.51827704,137.570809,58.38292097,82.45558144,89.72444325,130.5352225,72.64348683,63.62899678,99.71483617,41.10704969
animation_23.jpg2,animation_23,2,#441f40,68,31,64,32.3789812,44.28622401,65.16411169,85.98554897,57.43291382,104.5215912,85.57085638,140.8039851,101.8825077,161.523484,60.27276961,101.9402228,57.1615999,110.8380248,108.2007054,44.14022585,98.28973756,57.59727322
animation_23.jpg3,animation_23,3,#f9f9f8,249,249,248,97.90196539,44.31857383,20.20267162,2.160321336,94.7350248,113.5360564,73.76021019,96.41128048,88.13468606,119.7556033,58.02339439,50.54286352,117.1916995,149.463306,85.24892371,97.46512127,121.8815204,77.47014367
animation_23.jpg4,animation_23,4,#5b509c,91,80,156,60.5112043,49.07415468,60.97827836,77.2283225,82.77272589,121.9624274,104.409315,153.6797847,117.8172931,172.4859714,62.31503908,92.92310165,42.5583788,87.65286231,124.4789081,36.19911384,80.14288865,81.09962373
animation_23.jpg5,animation_23,5,#b75a4c,183,90,76,66.44666977,44.66384906,52.72193098,67.37847275,29.33374617,60.48770364,58.32657203,101.8858868,91.40514523,140.7274557,73.57720064,102.2290197,97.99476539,141.1980941,60.45373705,68.90391481,106.8544001,21.84293208
animation_23.jpg6,animation_23,6,#262e8e,38,46,142,66.86210408,68.51615937,81.6669463,97.62182361,93.70671428,133.9820534,122.0468265,173.2929523,134.3541398,190.9391911,78.56993253,110.4852193,23.11523384,72.86331399,142.308021,33.6269992,76.66913068,95.95630123
