word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
turn,598.0,0.00263232031553,150.0,0.00100295537517,83.0,0.000895950949384,124.0,0.00105239930066,91.0,0.00057502132634,162.0,0.000884767257058,9.0,0.000508330979949,301.0,0.00192881951119,0.0,0.0,19.0,0.000978876867594,32.0,0.00052336326317,108.0,0.00124774712325
enjoye,595.0,0.00261911469521,95.0,0.000635205070942,83.0,0.000895950949384,77.0,0.000653506017348,219.0,0.00138384253262,219.0,0.00119607425491,49.0,0.00276757977972,245.0,0.00156996936958,22.0,0.00131657690006,37.0,0.00190623390005,82.0,0.00134111836187,131.0,0.00151347104765
also,593.0,0.00261031094834,377.0,0.00252076117627,254.0,0.00274182579691,309.0,0.00262251116052,439.0,0.00277400398092,522.0,0.00285091671719,86.0,0.00485738491951,651.0,0.00417163289631,87.0,0.00520646319569,57.0,0.00293663060278,160.0,0.00261681631585,276.0,0.00318868709275
thought,582.0,0.00256189034053,780.0,0.0052153679509,314.0,0.00338950118201,268.0,0.00227454042402,552.0,0.00348804145209,385.0,0.00210268761708,46.0,0.00259813611974,598.0,0.00383200686942,46.0,0.00275284260922,62.0,0.00319422977846,129.0,0.00210980815465,226.0,0.00261102638754
different,578.0,0.00254428284678,215.0,0.00143756937108,141.0,0.00152203715498,110.0,0.000933580024782,294.0,0.00185776120818,243.0,0.00132715088559,21.0,0.00118610561988,439.0,0.00281312878875,38.0,0.00227408737283,25.0,0.00128799587841,92.0,0.00150466938161,95.0,0.0010975553399
main,564.0,0.00248265661866,193.0,0.00129046924939,189.0,0.00204017746306,120.0,0.00101845093613,280.0,0.00176929638874,179.0,0.000977613203786,7.0,0.00039536853996,296.0,0.00189677931998,14.0,0.000837821663674,26.0,0.00133951571355,46.0,0.000752334690807,91.0,0.00105134248348
point,563.0,0.00247825474522,229.0,0.00153117853943,139.0,0.00150044797547,253.0,0.002147234057,317.0,0.00200309626868,273.0,0.00149099667393,29.0,0.00163795537984,181.0,0.00115985492201,42.0,0.00251346499102,32.0,0.00164863472437,239.0,0.0039088693718,131.0,0.00151347104765
couple,562.0,0.00247385287178,38.0,0.000254082028377,31.0,0.0003346322823,48.0,0.00040738037445,82.0,0.000518151085274,61.0,0.000333153102966,0.0,0.0,63.0,0.00040370640932,0.0,0.0,0.0,0.0,32.0,0.00052336326317,41.0,0.000473681778271
reader,557.0,0.0024518435046,259.0,0.00173176961446,207.0,0.00223448007858,500.0,0.00424354556719,358.0,0.00226217181132,381.0,0.00208084151197,34.0,0.00192036147981,493.0,0.00315916285388,33.0,0.00197486535009,30.0,0.0015455950541,87.0,0.00142289387174,178.0,0.00205647211054
find,557.0,0.0024518435046,242.0,0.00161810133861,211.0,0.00227765843759,271.0,0.00230000169742,567.0,0.0035828251872,405.0,0.00221191814264,53.0,0.0029935046597,385.0,0.00246709472362,33.0,0.00197486535009,54.0,0.00278207109737,119.0,0.00194625713491,283.0,0.00326955959148
look,552.0,0.00242983413741,208.0,0.00139076478691,165.0,0.00178110730902,237.0,0.00201144059885,360.0,0.00227480964267,353.0,0.00192791877618,50.0,0.00282406099972,256.0,0.00164045779025,30.0,0.00179533213645,54.0,0.00278207109737,106.0,0.00173364080925,189.0,0.00218355746569
kept,545.0,0.00239902102335,75.0,0.000501477687586,35.0,0.000377810641307,46.0,0.000390406192182,108.0,0.0006824428928,108.0,0.000589844838038,9.0,0.000508330979949,90.0,0.000576723441886,0.0,0.0,0.0,0.0,15.0,0.000245326529611,43.0,0.000496788206479
still,541.0,0.0023814135296,305.0,0.00203934259618,197.0,0.00212653418107,237.0,0.00201144059885,432.0,0.0027297715712,374.0,0.00204261082802,35.0,0.0019768426998,284.0,0.00181988286106,82.0,0.00490724117295,67.0,0.00345182895415,251.0,0.00410513059549,256.0,0.00295762281067
women,538.0,0.00236820790929,16.0,0.000106981906685,41.0,0.000442578179816,38.0,0.000322509463107,31.0,0.000195886385896,96.0,0.000524306522701,19.0,0.00107314317989,19.0,0.00012175272662,0.0,0.0,0.0,0.0,8.0,0.000130840815792,0.0,0.0
bit,525.0,0.0023109835546,113.0,0.000755559715963,133.0,0.00143568043696,146.0,0.00123911530562,169.0,0.00106789674892,150.0,0.00081922894172,32.0,0.00180739903982,150.0,0.000961205736476,11.0,0.00065828845003,26.0,0.00133951571355,80.0,0.00130840815792,150.0,0.00173298211562
husband,524.0,0.00230658168116,0.0,0.0,16.0,0.000172713436026,14.0,0.000118819275881,7.0,4.42324097185e-05,234.0,0.00127799714908,0.0,0.0,17.0,0.000108936650134,0.0,0.0,0.0,0.0,11.0,0.000179906121715,11.0,0.000127085355146
paula,523.0,0.00230217980773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcoholic,508.0,0.00223615170617,0.0,0.0,8.0,8.63567180129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
