"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)","Japan","Government","Earth Observation","LEO","98.80","1,900",2012-05-17,"Tanegashima Space Center",702.5
"Globalstar M004 (Globalstar 4)","USA","Commercial","Communications","LEO","114","450",1998-02-14,"Cape Canaveral",1409.5
"Globalstar M006 (Globalstar 6)","USA","Commercial","Communications","LEO","114.1","450",1998-04-24,"Cape Canaveral",1414
"Globalstar M023 (Globalstar 9)","USA","Commercial","Communications","LEO","114.1","450",1999-02-09,"Baikonur Cosmodrome",1414
"Globalstar M026 (Globalstar 28)","USA","Commercial","Communications","LEO","114.1","450",1999-07-25,"Cape Canaveral",1414
"Globalstar M027 (Globalstar 34)","USA","Commercial","Communications","LEO","114.1","450",1999-08-17,"Cape Canaveral",1413.5
"Globalstar M028 (Globalstar 26)","USA","Commercial","Communications","LEO","114.1","450",1999-07-25,"Cape Canaveral",1413.5
"Globalstar M029 (Globalstar 47)","USA","Commercial","Communications","LEO","114.1","450",1999-11-22,"Baikonur Cosmodrome",1156.5
"Globalstar M031 (Globalstar 44)","USA","Commercial","Communications","LEO","114.1","450",1999-10-18,"Baikonur Cosmodrome",1477.5
"Globalstar M037 (Globalstar 16)","USA","Commercial","Communications","LEO","114.1","450",1999-03-15,"Baikonur Cosmodrome",1414
"Globalstar M039 (Globalstar 45)","USA","Commercial","Communications","LEO","114.1","450",1999-11-22,"Baikonur Cosmodrome",1413.5
"Globalstar M040 (Globalstar 10)","USA","Commercial","Communications","LEO","114.1","450",1999-02-09,"Baikonur Cosmodrome",1415.5
"Globalstar M056 (Globalstar 43)","USA","Commercial","Communications","LEO","114.1","450",1999-10-18,"Baikonur Cosmodrome",1413.5
"Globalstar M059 (Globalstar 42)","USA","Commercial","Communications","LEO","114.1","450",1999-10-18,"Baikonur Cosmodrome",1414
"Globalstar M063 (Globalstar 49)","USA","Commercial","Communications","LEO","114.1","450",2000-02-08,"Cape Canaveral",1413.5
"Globalstar M065 (Globalstar 65)","USA","Commercial","Communications","LEO","114.1","450",2007-05-29,"Baikonur Cosmodrome",1413.5
"Globalstar M066 (Globalstar 66)","USA","Commercial","Communications","LEO","114.1","450",2007-10-20,"Baikonur Cosmodrome",1413.5
"Globalstar M067 (Globalstar 67)","USA","Commercial","Communications","LEO","114.1","450",2007-10-20,"Baikonur Cosmodrome",1413.5
"Globalstar M068 (Globalstar 68)","USA","Commercial","Communications","LEO","114","450",2007-10-20,"Baikonur Cosmodrome",1412.5
"Globalstar M069 (Globalstar 69)","USA","Commercial","Communications","LEO","114.1","450",2007-05-29,"Baikonur Cosmodrome",1413.5
"Globalstar M070 (Globalstar 70)","USA","Commercial","Communications","LEO","114.1","450",2007-10-20,"Baikonur Cosmodrome",1413.5
"Globalstar M071 (Globalstar 71)","USA","Commercial","Communications","LEO","114.1","450",2007-05-29,"Baikonur Cosmodrome",1413.5
"Globalstar M072 (Globalstar 72)","USA","Commercial","Communications","LEO","114.1","450",2007-05-29,"Baikonur Cosmodrome",1414
"Globalstar M073 (Globalstar 73, Globalstar 2-6)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1413.5
"Globalstar M074 (Globalstar 74, Globalstar 2-2)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1414
"Globalstar M075 (Globalstar 75, Globalstar 2-5)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1414
"Globalstar M076 (Globalstar 76, Globalstar 2-3)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1413.5
"Globalstar M077 (Globalstar 77, Globalstar 2-4)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1413.5
"Globalstar M078 (Globalstar 95, Globalstar 2-23)","France","Commercial","Communications","LEO","114.08","700",2013-02-06,"Baikonur Cosmodrome",1413.5
"Globalstar M079 (Globalstar 79, Globalstar 2-1)","France","Commercial","Communications","LEO","114.1","700",2010-10-19,"Baikonur Cosmodrome",1413.5
"Globalstar M080 (Globalstar 80, Globalstar 2-14)","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M081 (Globalstar 81, Globalstar 2-11)","France","Commercial","Communications","LEO","114.1","700",2011-07-13,"Baikonur Cosmodrome",1413.5
"Globalstar M082 (Globalstar 82, Globalstar 2-15)","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M083 (Globalstar 83, Globalstar 2-7)","France","Commercial","Communications","LEO","114.1","700",2011-07-13,"Baikonur Cosmodrome",1413.5
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M085 (Globalstar 85, Globalstar 2-10)","France","Commercial","Communications","LEO","114.1","700",2011-07-13,"Baikonur Cosmodrome",1414
"Globalstar M086 (Globalstar 86, Globalstar 2-18)","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M088 (Globalstar 88, Globalstar 2-8)","France","Commercial","Communications","LEO","114.1","700",2011-07-13,"Baikonur Cosmodrome",1413.5
"Globalstar M089 (Globalstar 89, Globalstar 2-12)","France","Commercial","Communications","LEO","118.2","700",2011-07-13,"Baikonur Cosmodrome",1414
"Globalstar M090 (Globalstar 90, Globalstar 2-17)","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M091 (Globalstar 91, Globalstar 2-9)","France","Commercial","Communications","LEO","114.1","700",2011-07-13,"Baikonur Cosmodrome",1414
"Globalstar M092 (Globalstar 92, Globalstar 2-16)","France","Commercial","Communications","LEO","114.1","700",2011-12-28,"Baikonur Cosmodrome",1413.5
"Globalstar M093 (Globalstar 87, Globalstar 2-20)","France","Commercial","Communications","LEO","113.35","700",2013-02-06,"Baikonur Cosmodrome",1413.5
"Globalstar M094 (Globalstar 93, Globalstar 2-21)","France","Commercial","Communications","LEO","103.44","700",2013-02-06,"Baikonur Cosmodrome",1413.5
"Globalstar M095 (Globalstar 96, Globalstar 2-24)","France","Commercial","Communications","LEO","114.08","700",2013-02-06,"Baikonur Cosmodrome",1413.5
"Globalstar M096 (Globalstar 94, Globalstar 2-22)","France","Commercial","Communications","LEO","103.48","700",2013-02-06,"Baikonur Cosmodrome",1413.5
"Globalstar M097 (Globalstar 78, Globalstar 2-19)","France","Commercial","Communications","LEO","113.96","700",2013-02-06,"Baikonur Cosmodrome",1380.5
"Glonass 701 (Glonass-K, Cosmos 2471)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.78","935",2011-02-26,"Plesetsk Cosmodrome",19131
"Glonass 702 (Glonass K, Cosmos 2501)","NR","Military/Commercial","Navigation/Global Positioning","MEO","676.15","935",2014-12-01,"Plesetsk Cosmodrome",19140.5
"Glonass 714 (Cosmos 2419)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.39","1,480",2005-12-25,"Baikonur Cosmodrome",19121.5
"Glonass 715 (Glonass 35-1, Cosmos 2424)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.75","1,480",2006-12-25,"Baikonur Cosmodrome",19130
"Glonass 716 (Glonass 35-2, Cosmos 2425)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.75","1,480",2006-12-25,"Baikonur Cosmodrome",19130
"Glonass 717 (Glonass 35-3, Cosmos 2426)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.75","1,480",2006-12-25,"Baikonur Cosmodrome",19130
"Glonass 719 (Glonass 36-2, Cosmos 2432)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.83","1,480",2007-10-26,"Baikonur Cosmodrome",19132.5
"Glonass 720 (Glonass 36-3, Cosmos 2433)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.67","1,480",2007-10-26,"Baikonur Cosmodrome",19128.5
"Glonass 721 (Glonass 37-1, Cosmos 2434)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","680.91","1,480",2007-12-25,"Baikonur Cosmodrome",19260
"Glonass 723 (Glonass 37-3, Cosmos 2436)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","680.75","1,480",2007-12-25,"Baikonur Cosmodrome",19256
"Glonass 725 (Glonass 38-2, Cosmos 2443)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","676.1","1,480",2008-09-25,"Baikonur Cosmodrome",19139.5
"Glonass 730 (Glonass 41-1, Cosmos 2456)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","681.53","1,415",2009-12-14,"Baikonur Cosmodrome",19275.5
"Glonass 731 (Glonass 42-1, Cosmos 2459)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.85","1,415",2010-03-01,"Baikonur Cosmodrome",19132.5
"Glonass 732 (Glonass 42-3, Cosmos 2460)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.81","1,415",2010-03-01,"Baikonur Cosmodrome",19132
"Glonass 733 (Glonass 41-2, Cosmos 2457)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","670.47","1,415",2009-12-14,"Baikonur Cosmodrome",18997
"Glonass 734 (Glonass 41-3, Cosmos 2458)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.08","1,415",2009-12-14,"Baikonur Cosmodrome",19113.5
"Glonass 735 (Glonass 42-2, Cosmos 2461)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.81","1,415",2010-03-01,"Baikonur Cosmodrome",19131.5
"Glonass 736 (Glonass 43-1, Cosmos 2464)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","671.2","1,415",2010-09-02,"Baikonur Cosmodrome",19016
"Glonass 737 (Glonass 43-2, Cosmos 2465)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","680.43","1,415",2010-09-02,"Baikonur Cosmodrome",19248
"Glonass 738 (Glonass 43-3, Cosmos 2466)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.61","1,415",2010-09-02,"Baikonur Cosmodrome",19127
"Glonass 742 (Glonass-M, Cosmos 2474)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","676.2","1,415",2011-10-02,"Plesetsk Cosmodrome",19142
"Glonass 743 (Glonass 44-2, Cosmos 2476)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","677.46","1,415",2011-11-04,"Baikonur Cosmodrome",19173
"Glonass 744 (Glonass 44-3, Cosmos 2477)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","677.5","1,415",2011-11-04,"Baikonur Cosmodrome",19174.5
"Glonass 745 (Glonass 44-1, Cosmos 2475)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","677.54","1,415",2011-11-04,"Baikonur Cosmodrome",19175.5
"Glonass 746 (Glonass-M, Cosmos 2478)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","676.38","1,415",2011-11-27,"Plesetsk Cosmodrome",19146
"Glonass 747 (Glonass-M, Cosmos 2485)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.73","1,415",2013-04-26,"Plesetsk Cosmodrome",19130
"Glonass 754 (Glonass-M, Cosmos 2491, RS-46)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.74","1,415",2014-03-23,"Plesetsk Cosmodrome",19130.5
"Glonass 755 (Glonass-M, Cosmos 2500)","Russia","Military/Commercial","Navigation/Global Positioning","MEO","675.73","1,415",2014-06-14,"Plesetsk Cosmodrome",19130
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)","USA","Government","Earth Observation","GEO","1436","3,200",2006-05-24,"Cape Canaveral",35784.5
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)","USA","Government","Earth Observation","GEO","1436","3,200",2009-06-27,"Cape Canaveral",35170
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)","USA","Government","Earth Observation","GEO","1436.14","3,175",2010-03-04,"Cape Canaveral",35787
"GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)","USA","Civil","Communications","GEO","1436.08","627",1978-06-16,"Cape Canaveral",35786
"Göktürk 2","NR","Military","Earth Observation","LEO","98.35","409",2012-12-18,"Jiuquan Satellite Launch Center",679.5
"Gonets D1-14 ","Russia","Commercial/Government","Communications","LEO","114","240",1996-02-19,"Plesetsk Cosmodrome",1410
"Gonets M-03","Russia","Commercial/Government","Communications","LEO","115.9","270",2012-07-28,"Plesetsk Cosmodrome",1494
"Gonets M-04","Russia","Commercial/Government","Communications","LEO","115.9","270",2012-07-28,"Plesetsk Cosmodrome",1495.5
"Gonets M-05","Russia","Commercial/Government","Communications","LEO","116.1","270",2010-09-08,"Plesetsk Cosmodrome",1503.5
"Gonets M-11 (Gonets M21)","Russia","Commercial/Government","Communications","LEO","116","280",2015-03-31,"Plesetsk Cosmodrome",1502.5
"Gonets M-12 (Gonets M22)","Russia","Commercial/Government","Communications","LEO","116","280",2015-03-31,"Plesetsk Cosmodrome",1500
"Gonets M-13 (Gonets M23)","Russia","Commercial/Government","Communications","LEO","116","280",2015-03-31,"Plesetsk Cosmodrome",1337.5
"Gonets M-14","Russia","Commercial/Government","Communications","LEO","115.86","270",2013-09-11,"Plesetsk Cosmodrome",1494.5
"Gonets M-16","Russia","Commercial/Government","Communications","LEO","116","270",2013-09-11,"Plesetsk Cosmodrome",1500.5
"Gonets M-17","Russia","Commercial/Government","Communications","LEO","116.02","270",2013-09-11,"Plesetsk Cosmodrome",1501.5
"Gonets M-18","Russia","Commercial/Government","Communications","LEO","115.87","280",2014-07-03,"Plesetsk Cosmodrome",1494.5
"Gonets M-19","Russia","Commercial/Government","Communications","LEO","115.89","280",2014-07-03,"Plesetsk Cosmodrome",1496
"Gonets M-20","Russia","Commercial/Government","Communications","LEO","115.84","280",2014-07-03,"Plesetsk Cosmodrome",1493.5
"GPM Core Observatory (Global Precipitation Measurement)","NR","Government","Earth Observation","LEO","92.57","3,850",2014-02-27,"Tanegashima Space Center",400.5
"Grace 1 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")","Germany/USA","Civil","Earth Observation","LEO","93.4","480",2002-03-17,"Plesetsk Cosmodrome",400
"Grace 2 (Gravity Recovery and Climate Experiment, ""Tom and Jerry"")","Germany/USA","Civil","Earth Observation","LEO","93.4","480",2002-03-17,"Plesetsk Cosmodrome",400
"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)","Japan","Civil","Earth Observation","LEO","98.1","1,750",2009-01-23,"Tanegashima Space Center",669
"GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment)","NR","Civil/Government","Technology Development","LEO","95.5","4",2015-01-31,"Vandenberg AFB",550
"GSAT-10","India","Government","Communicatons","GEO","1436.07","3,400",2012-09-28,"Guiana Space Center",35786
"GSAT-12","India","Government","Communications","GEO","1436.1","1,410",2011-07-15,"Sriharikota Launch Station",35786
"GSAT-14","India","Government","Communications","GEO","1436.1","1,982",2014-01-05,"Sriharikota Launch Station",35786.5
"GSAT-16","NR","Government","Communications","GEO","1436.1","3,181",2014-12-06,"Guiana Space Center",35787
"GSAT-2","India","Government","Communications/Technology Development","GEO","1436.07","1,825",2003-05-08,"Satish Dhawan Space Centre",35786
"GSAT-6 (Insat 4-E)","NR","Government/Commercial","Communications","GEO","1436.1","2,110",2015-08-27,"Sriharikota Launch Station",35775
"GSAT-7","India","Military","Communications","GEO","1436","2,650",2013-08-29,"Guiana Space Center",35785.5
"GSAT-8","India","Government","Communications/Navigation","GEO","1436.23","3,093",2011-05-20,"Guiana Space Center",35789
"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)","NR","Military","Space Observation","GEO","","",2014-07-28,"Cape Canaveral",35900
"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)","NR","Military","Space Observation","GEO","","",2014-07-28,"Cape Canaveral",35900
"Haiyang 2A (HY 2A)","China","Government","Earth Observation","LEO","104.4","1,500",2011-08-15,"Taiyuan Launch Center",966
"Helios 2A ","NR","Military","Earth Observation","LEO","98","4,200",2004-12-18,"Guiana Space Center",682
"Helios 2B","France","Military","Earth Observation","LEO","98.37","4,200",2009-12-18,"Guiana Space Center",680.5
"HellasSat 2 (Intelsat K-TV, NSS K-TV)","Greece","Commercial","Communications","GEO","1436.08","3,300",2003-05-12,"Cape Canaveral",35786
"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)","USA","Government/Civil","Space Science","LEO","95.5","293",2002-02-05,"Cape Canaveral",543
"Himawari 8","NR","Government","Earth Observation","GEO","1436.06","3,500",2014-10-07,"Tanegashima Space Center",35785.5
"Hinode (Solar B)","Japan","Government","Space Science","LEO","98.4","700",2006-10-22,"Uchinoura Space Center",683
"Hispasat 1C ","Spain","Commercial/Gov/Mil","Communications","GEO","1436.08","3,112",2000-02-04,"Cape Canaveral",35786
"Hispasat 1D ","Spain","Commercial/Gov/Mil","Communications","GEO","1436.11","3,288",2002-09-18,"Cape Canaveral",35786.5
"Hispasat 1E","NR","Commercial","Communications","GEO","1435.95","5,320",2010-12-29,"Guiana Space Center",35784
"HJ-1A (Huan Jing 1A)","China","Government","Earth Observation","LEO","97.7","470",2008-09-05,"Taiyuan Launch Center",646.5
"HJ-1B (Huan Jing 1B)","China","Government","Earth Observation","LEO","97.7","470",2008-09-05,"Taiyuan Launch Center",647
"HJ-1C (Huan Jing 1C)","China","Government","Earth Observation","LEO","94.53","890",2012-11-18,"Taiyuan Launch Center",429
"Hodoyoshi-1 ","NR","Government","Earth Observation","LEO","94.93","65",2014-11-06,"Dombarovsky Air Base",515.5
"Hodoyoshi-3","NR","Government","Technology Development","LEO","97.51","60",2014-06-19,"Dombarovsky Air Base",639.5
"Hodoyoshi-4","NR","Government","Technology Development","LEO","97.35","60",2014-06-19,"Dombarovsky Air Base",631.5
"Horizons 2","USA","Commercial","Communications","GEO","1436.1","2,300",2007-12-21,"Guiana Space Center",35786.5
"Horyu-2 (High Voltage Technology Demonstration Satellite-2)","Japan","Civil","Technology Development","LEO","97.9","7",2012-05-17,"Tanegashima Space Center",659.5
"Hubble Space Telescope (HST, Space Telescope)","USA","Government","Space Science","LEO","95.8","11,110",1990-04-25,"Cape Canaveral",557
"HumSat-D","NR","Civil","Technology Development","LEO","96.9","1",2013-11-21,"Dombarovsky Air Base",615
"HYLAS 1 (Highly Adaptable Satellite)","United Kingdom","Commercial","Communications","GEO","1436.07","2,242",2010-11-26,"Guiana Space Center",35786.5
"HYLAS 2 (Highly Adaptable Satellite)","United Kingdom","Commercial","Communications","GEO","1436.14","3,311",2012-08-02,"Guiana Space Center",35787
"IGS-3A (Information Gathering Satellite 3A, IGS Optical 2)","Japan","Government","Earth Observation","LEO","94.37","850",2006-09-11,"Tanegashima Space Center",488
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)","Japan","Government","Earth Observation","LEO","94.37","1,600",2009-11-28,"Tanegashima Space Center",488
"IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)","Japan","Government","Earth Observation","LEO","96.47","1,600",2011-09-23,"Tanegashima Space Center",589.5
"IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)","Japan","Government","Earth Observation","LEO","94.89","1,600",2011-12-12,"Tanegashima Space Center",513
"IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)","Japan","Government","Earth Observation","LEO","94.85","1,600",2013-01-27,"Tanegashima Space Center",511.5
"IGS-8B (Information Gathering Satellite 8B, IGS Optical Demonstrator)","Japan","Government","Earth Observation","LEO","94.85","1,600",2013-01-27,"Tanegashima Space Center",517.5
"IGS-9A (Information Gathering Satellite 9A, IGS Radar 5)","NR","Government","Earth Observation","LEO","94.85","1,600",2015-01-31,"Tanegashima Space Center",510
"IGS-9B (Information Gathering Satellite 9B, IGS Optical 5)","NR","Government","Earth Observation","LEO","95.2","1,600",2015-03-26,"Tanegashima Space Center",513
"INMARSAT 3 F1 ","NR","Commercial","Communications","GEO","1436.08","2,064",1996-04-03,"Cape Canaveral",35786
"INMARSAT 3 F2 ","NR","Commercial","Communications","GEO","1436.1","2,070",1996-09-06,"Baikonur Cosmodrome",35786
"INMARSAT 3 F3 ","NR","Commercial","Communications","GEO","1436.07","2,074",1996-12-18,"Cape Canaveral",35785.5
"INMARSAT 3 F4 ","NR","Commercial","Communications","GEO","1427.91","2,066",1997-06-03,"Guiana Space Center",35625.5
"INMARSAT 3 F5 ","NR","Commercial","Communications","GEO","1436.07","2,000",1998-02-04,"Guiana Space Center",35786
"INMARSAT 4 F1","United Kingdom","Commercial","Communications","GEO","1436.08","5,959",2005-03-11,"Cape Canaveral",35785.5
"INMARSAT 4 F2","United Kingdom","Commercial","Communications","GEO","1436.11","5,458",2005-11-08,"Sea Launch (Odyssey)",35786.5
"INMARSAT 4 F3","United Kingdom","Commercial","Communications","GEO","1436.1","5,960",2008-08-18,"Baikonur Cosmodrome",35786.5
"INMARSAT 5 F1","United Kingdom","Commercial","Communications","GEO","1436.13","6,070",2013-12-08,"Baikonur Cosmodrome",35787
"INMARSAT 5 F2","NR","Commercial","Communications","GEO","1436","6,105",2015-02-01,"Baikonur Cosmodrome",35786.5
"INMARSAT 5 F3","NR","Commercial","Communications","GEO","1436.1","6,100",2015-08-28,"Baikonur Cosmodrome",35780
"INSAT 3A (Indian National Satellite)","India","Government","Earth Observation","GEO","1436.1","2,950",2003-04-09,"Guiana Space Center",35786.5
"INSAT 3C (Indian National Satellite)","India","Government","Communications","GEO","1436.1","2,750",2002-01-23,"Guiana Space Center",35786.5
"INSAT 3D (Indian National Satellite)","India","Government","Earth Observation","GEO","1436.09","2,090",2013-07-25,"Guiana Space Center",35786.5
"INSAT 4A (Indian National Satellite)","India","Government","Communications","GEO","1436.1","3,100",2005-12-21,"Guiana Space Center",35786.5
"INSAT 4B (Indian National Satellite)","India","Government","Communications","GEO","1436.08","3,028",2007-03-11,"Guiana Space Center",35785.5
"INSAT 4CR (Indian National Satellite)","India","Government","Communications","GEO","1436.11","2,130",2007-09-02,"Sriharikota Launch Station",37786.5
"Intelsat 10 (PAS-10)","USA","Commercial","Communications","GEO","1436.08","3,739",2001-05-14,"Baikonur Cosmodrome",35786
"Intelsat 10-02 (Thor 4)","USA","Commercial","Communications","GEO","1436.08","5,576",2004-06-16,"Baikonur Cosmodrome",35786
"Intelsat 11 (PAS 11)","USA","Commercial","Communications","GEO","1436.1","2,491",2007-10-05,"Guiana Space Center",35786.5
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)","United Kingdom","Commercial","Communications","GEO","1436.09","4,167",2000-10-29,"Guiana Space Center",35786
"Intelsat 14 (IS-14)","USA","Commercial","Communications","GEO","1436.05","5,613",2009-11-23,"Cape Canaveral",35785.5
"Intelsat 15 (IS-15, JCSat 85)","USA","Commercial","Communications","GEO","1436.12","2,550",2009-11-30,"Baikonur Cosmodrome",35787
"Intelsat 16 (IS-16)","USA","Commercial","Communications","GEO","1436.19","2,450",2010-02-12,"Baikonur Cosmodrome",35787
"Intelsat 17 (IS-17)","USA","Commercial","Communications","GEO","1436.12","5,540",2010-11-26,"Guiana Space Center",35787
"Intelsat 18 (IS-18)","USA","Commercial","Communications","GEO","1436.09","3,200",2011-10-05,"Baikonur Cosmodrome",35786
"Intelsat 19 (IS-19)","USA","Commercial","Communications","GEO","1436.01","5,600",2012-06-01,"Sea Launch (Odyssey)",35784.5
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)","USA","Commercial","Communications","GEO","1436.11","4,793",2000-11-15,"Guiana Space Center",35786.5
"Intelsat 20 (IS-20)","USA","Commercial","Communications","GEO","1436.03","6,094",2012-08-02,"Guiana Space Center",35785
"Intelsat 21 (IS-21)","USA","Commercial","Communications","GEO","1436.39","5,984",2012-08-19,"Sea Launch (Odyssey)",35792.5
"Intelsat 22","USA","Commercial","Communications","GEO","1436.11","6,199",2012-03-25,"Baikonur Cosmodrome",35786.5
"Intelsat 23","NR","Commercial","Communications","GEO","1436.21","3,200",2012-10-14,"Baikonur Cosmodrome",35789
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)","NR","Commercial","Communications","GEO","1436.1","4,100",2008-07-07,"Guiana Space Center",35785.5
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)","Japan","Commercial","Communications","GEO","1436.1","3,124",1997-02-16,"Cape Canaveral",35786.5
"Intelsat 30/DLA 1","NR","Commercial","Communications","GEO","1435.97","6,220",2014-10-16,"Guiana Space Center",35784.5
"Intelsat 34","NR","Commercial","Communications","GEO","1436.1","3,300",2015-08-20,"Guiana Space Center",35794
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)","USA","Commercial","Communications","GEO","1436.09","2,730",1997-08-28,"Baikonur Cosmodrome",35786
"Intelsat 7 (IS-7, PAS-7) ","USA","Commercial","Communications","GEO","1436.09","3,833",1998-09-16,"Guiana Space Center",35786
"Intelsat 701 ","NR","Commercial","Communications","GEO","1436.08","3,642",1993-10-22,"Guiana Space Center",35786
"Intelsat 702 ","NR","Commercial","Communications","GEO","1436.1","3,642",1994-06-17,"Guiana Space Center",35786
"Intelsat 8 (IS-8, PAS-8) ","USA","Commercial","Communications","GEO","1436.08","3,592",1998-11-04,"Baikonur Cosmodrome",35786
"Intelsat 805 ","NR","Commercial","Communications","GEO","1436.08","3,420",1998-06-18,"Guiana Space Center",35786
"Intelsat 9 (IS-9, PAS-9) ","USA","Commercial","Communications","GEO","1436.14","3,659",2000-07-28,"Sea Launch (Odyssey)",35787
"Intelsat 901 ","USA","Commercial","Communications","GEO","1436.12","4,723",2001-06-09,"Cape Canaveral",35786.5
"Intelsat 902 ","USA","Commercial","Communications","GEO","1436.1","4,723",2001-08-30,"Guiana Space Center",35786
"Intelsat 903 ","USA","Commercial","Communications","GEO","1436.16","4,723",2002-03-30,"Guiana Space Center",35787.5
"Intelsat 904 ","USA","Commercial","Communications","GEO","1436.07","4,680",2002-02-23,"Baikonur Cosmodrome",35785.5
"Intelsat 905 ","USA","Commercial","Communications","GEO","1436.12","4,723",2002-06-05,"Guiana Space Center",35786.5
"Intelsat 906 ","USA","Commercial","Communications","GEO","1436.07","4,723",2002-09-06,"Guiana Space Center",35785.5
"Intelsat 907 ","USA","Commercial","Communications","GEO","1436.1","4,685",2003-02-15,"Guiana Space Center",35786.5
"Intelsat APR-2 (INSAT 2E)","India","Commercial","Communications","GEO","1436.11","2,550",1999-04-03,"Xichang Satellite Launch Center",35786.5
"Intelsat New Dawn","NR","Commercial","Communications","GEO","1439.15","3,000",2011-04-22,"Guiana Space Center",35846
"International Space Station (ISS [first element Zarya])","USA","Government","Space Science","LEO","92.8","",1998-11-20,"Baikonur Cosmodrome",411.5
"IPEX (Intelligent Payload Experiment, CalPoly 8)","NR","Government","Technology Development","LEO","98.3","1",2013-12-06,"Vandenberg AFB",679.5
"Iridium 10 (Iridium SV010)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-06-18,"Baikonur Cosmodrome",777.5
"Iridium 11A (Iridium SV088)","China","Government/Commercial","Communications","LEO","100.4","689",1998-12-19,"Taiyuan Launch Center",777.5
"Iridium 12 (Iridium SV012)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-06-18,"Baikonur Cosmodrome",777.5
"Iridium 13 (Iridium SV013)","USA","Government/Commercial","Communications","LEO","100.4","689",1997-06-18,"Baikonur Cosmodrome",778
"Iridium 14A (Iridium SV092)","China","Government/Commercial","Communications","LEO","99","689",1999-06-11,"Taiyuan Launch Center",709.5
