"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
1964	58533	4647	41704	1449	"US"	"Region"	3316.45946107725	100237	3198	16829	0.964281348085959
1963	57686	4511	40364	1372	"US"	"Region"	3218.7756654768	98050	3139	17322	0.975215524855479
1962	56624	4372	38988	1342	"US"	"Region"	3136.44755888382	95612	3030	17636	0.966061106750433
1961	55839	4189	38076	1279	"US"	"Region"	3009.1974125539	93915	2910	17763	0.967035259255485
1960	55172	4080	36526	1261	"US"	"Region"	2957.10970795437	91698	2819	18646	0.953295710476054
1959	54285	3997	34380	1223	"US"	"Region"	2921.37692437828	88665	2774	19905	0.949552239168986
1958	53543	3743	33340	1176	"US"	"Region"	2757.9536733308	86883	2567	20203	0.93076255225847
1957	52877	3677	32702	1200	"US"	"Region"	2730.47276785193	85579	2477	20175	0.90716890831644
1956	52016	3601	31823	1149	"US"	"Region"	2670.2876107778	83839	2452	20193	0.918253146254078
1955	51446	3358	29791	1120	"US"	"Region"	2537.28704900476	81237	2238	21655	0.882044465910092
1954	49712	3193	27715	1160	"US"	"Region"	2465.2875095251	77427	2033	21997	0.824650265798664
1953	49667	3221	27379	1166	"US"	"Region"	2490.73697531345	77046	2055	22288	0.825057009378273
2014	19976	37478	20816	23877	"NE"	"Region"	30537.4622474995	40792	13601	-840	0.445387370101904
2013	19977	37614	20657	24014	"NE"	"Region"	30700.2036718019	40634	13600	-680	0.44299380373465
2012	19238	36342	20394	22539	"NE"	"Region"	29239.1946406944	39632	13803	-1156	0.472071825835768
2011	19302	35752	20326	21871	"NE"	"Region"	28632.1552942364	39628	13881	-1024	0.48480457923453
2010	19117	35458	20129	21419	"NE"	"Region"	28257.4947000968	39246	14039	-1012	0.496823945257677
2009	19117	35414	20123	22067	"NE"	"Region"	28569.4107798165	39240	13347	-1006	0.467177993374273
2008	19210	35768	20178	21930	"NE"	"Region"	28678.9585660607	39388	13838	-968	0.482514034396499
2007	19099	34921	20014	21691	"NE"	"Region"	28151.2503004116	39113	13230	-915	0.469961364373452
2006	19123	35220	19956	20284	"NE"	"Region"	27592.813633921	39079	14936	-833	0.541300361686875
2005	19237	32623	20025	19467	"NE"	"Region"	25912.9775864704	39262	13156	-788	0.507699277556933
2004	18997	31947	20020	18297	"NE"	"Region"	24943.0530025374	39017	13650	-1023	0.547246561942976
2003	18834	31412	20104	17951	"NE"	"Region"	24461.9783245159	38938	13461	-1270	0.550282557748378
2002	19040	30649	20251	17243	"NE"	"Region"	23739.4047746303	39291	13406	-1211	0.564715085625341
2001	19213	30636	20290	17068	"NE"	"Region"	23667.0427056173	39503	13568	-1077	0.573286665713401
2000	18872	30338	20332	16301	"NE"	"Region"	23058.1233547597	39204	14037	-1460	0.608765933984929
1999	18371	28905	20307	15761	"NE"	"Region"	22004.0431769998	38678	13144	-1936	0.597344764972059
1998	18024	27521	19601	14811	"NE"	"Region"	20899.6389368771	37625	12710	-1577	0.608144477442307
1997	17953	26378	19283	14333	"NE"	"Region"	20140.3876087657	37236	12045	-1330	0.598052045173036
1996	18060	25282	19400	13451	"NE"	"Region"	19154.8937533369	37460	11831	-1340	0.617648949263369
1995	17943	24610	19248	12482	"NE"	"Region"	18333.2194885859	37191	12128	-1305	0.661531380647614
1994	17950	23709	19292	11963	"NE"	"Region"	17624.3688845927	37242	11746	-1342	0.666463581017555
1993	17928	22283	19547	11375	"NE"	"Region"	16593.375557038	37475	10908	-1619	0.657370765972534
1992	17986	22090	19431	11300	"NE"	"Region"	16486.6515220354	37417	10790	-1445	0.654468858371786
1991	17976	22349	19422	11047	"NE"	"Region"	16479.5031285095	37398	11302	-1446	0.68582164837528
1990	18083	21907	19477	10732	"NE"	"Region"	16112.125798722	37560	11175	-1394	0.693577007751911
1989	18287	22173	19355	10543	"NE"	"Region"	16193.0135486956	37642	11630	-1068	0.718210971974196
1988	17915	21544	19718	9611	"NE"	"Region"	15291.6445141232	37633	11933	-1803	0.780360803508006
1987	17888	19817	19473	8743	"NE"	"Region"	14045.098766093	37361	11074	-1585	0.788460101593186
1986	17707	18929	19072	8020	"NE"	"Region"	13272.0640311047	36779	10909	-1365	0.82195203206023
1985	17519	17581	19011	7543	"NE"	"Region"	12357.0082671777	36530	10038	-1492	0.812332547082829
1984	17285	16666	18967	7003	"NE"	"Region"	11610.3307679576	36252	9663	-1682	0.832276030125524
1983	17236	15474	18568	6390	"NE"	"Region"	10763.0260306111	35804	9084	-1332	0.844000560266621
1982	17016	14544	18314	5975	"NE"	"Region"	10102.0904047552	35330	8569	-1298	0.848240280641963
1981	17314	13963	18182	5501	"NE"	"Region"	9628.53741266622	35496	8462	-868	0.87884583476493
1980	16977	13162	17941	4940	"NE"	"Region"	8937.50541268114	34918	8222	-964	0.919943498812775
1979	16879	12158	18051	4520	"NE"	"Region"	8210.86178070427	34930	7638	-1172	0.930231223469075
1978	16913	11162	16445	4402	"NE"	"Region"	7829.42010911925	33358	6760	468	0.863410048992817
1977	16641	10572	15151	4209	"NE"	"Region"	7539.60779441369	31792	6363	1490	0.84394310334213
1976	16407	9920	14588	3804	"NE"	"Region"	7041.46449427327	30995	6116	1819	0.86856931608106
1975	16084	9511	13815	3652	"NE"	"Region"	6803.81631492692	29899	5859	2269	0.861134358837101
1974	16141	9188	13934	3362	"NE"	"Region"	6488.76528678304	30075	5826	2207	0.89785956842467
1973	16058	8591	13517	3040	"NE"	"Region"	6053.96307692308	29575	5551	2541	0.916920028990545
1972	NA	7994	NA	2872	"NE"	"Region"	NA	NA	5122	NA	NA
1971	NA	7440	NA	2835	"NE"	"Region"	NA	NA	4605	NA	NA
1970	NA	7196	NA	2624	"NE"	"Region"	NA	NA	4572	NA	NA
1969	NA	6893	NA	2471	"NE"	"Region"	NA	NA	4422	NA	NA
1968	NA	6316	NA	2287	"NE"	"Region"	NA	NA	4029	NA	NA
1967	NA	6005	NA	2118	"NE"	"Region"	NA	NA	3887	NA	NA
1966	NA	5774	NA	1998	"NE"	"Region"	NA	NA	3776	NA	NA
1965	NA	5286	NA	1941	"NE"	"Region"	NA	NA	3345	NA	NA
1964	NA	5138	NA	1829	"NE"	"Region"	NA	NA	3309	NA	NA
1963	NA	5052	NA	1736	"NE"	"Region"	NA	NA	3316	NA	NA
1962	NA	4929	NA	1681	"NE"	"Region"	NA	NA	3248	NA	NA
1961	NA	4559	NA	1576	"NE"	"Region"	NA	NA	2983	NA	NA
1960	NA	4474	NA	1632	"NE"	"Region"	NA	NA	2842	NA	NA
1959	NA	4363	NA	1584	"NE"	"Region"	NA	NA	2779	NA	NA
1958	NA	4174	NA	1541	"NE"	"Region"	NA	NA	2633	NA	NA
1957	NA	4160	NA	1491	"NE"	"Region"	NA	NA	2669	NA	NA
1956	NA	4004	NA	1450	"NE"	"Region"	NA	NA	2554	NA	NA
1955	NA	3597	NA	1413	"NE"	"Region"	NA	NA	2184	NA	NA
1954	NA	3439	NA	1532	"NE"	"Region"	NA	NA	1907	NA	NA
1953	NA	3470	NA	1529	"NE"	"Region"	NA	NA	1941	NA	NA
2014	24260	37415	24845	22431	"MW"	"Region"	29833.7459525507	49105	14984	-585	0.502250036714512
2013	23806	36815	24618	22522	"MW"	"Region"	29548.6635965637	48424	14293	-812	0.483710539168417
2012	23449	34978	24238	21900	"MW"	"Region"	28330.809696563	47687	13078	-789	0.461617586651135
2011	23056	34034	24148	20860	"MW"	"Region"	27294.6187611219	47204	13174	-1092	0.48265924192958
2010	23236	32286	23879	20719	"MW"	"Region"	26423.5699246524	47115	11567	-643	0.437753113337207
2009	23354	32060	23794	20987	"MW"	"Region"	26471.8316365487	47148	11073	-440	0.418293684850726
2008	23361	33263	24089	20817	"MW"	"Region"	26944.5238356164	47450	12446	-728	0.461912041048888
2007	23303	34324	24054	20557	"MW"	"Region"	27331.3396118842	47357	13767	-751	0.503707472648499
2006	23408	32863	23872	20145	"MW"	"Region"	26441.59357022	47280	12718	-464	0.480984626218737
2005	23379	31988	24022	18857	"MW"	"Region"	25333.4382396996	47401	13131	-643	0.518326800956004
2004	23129	31142	23886	17893	"MW"	"Region"	24410.8373072424	47015	13249	-757	0.542750739486892
2003	23231	30289	23897	17498	"MW"	"Region"	23803.1205440502	47128	12791	-666	0.537366517819749
2002	22931	30238	23933	16921	"MW"	"Region"	23437.1344955616	46864	13317	-1002	0.568200861010628
2001	23051	30282	24354	16886	"MW"	"Region"	23399.8950743592	47405	13396	-1303	0.572481199485328
2000	23339	30109	23921	16483	"MW"	"Region"	23212.0988997038	47260	13626	-582	0.587021451996911
1999	22787	29508	23785	15508	"MW"	"Region"	22357.9957055742	46572	14000	-998	0.62617419666601
1998	22551	27668	23391	14523	"MW"	"Region"	20975.3289147186	45942	13145	-840	0.626688623260446
1997	22086	26285	23417	13899	"MW"	"Region"	19910.8496802409	45503	12386	-1331	0.622072899896965
1996	21908	25406	23219	13051	"MW"	"Region"	19049.0353225342	45127	12355	-1311	0.648589274512215
1995	21839	24298	23336	12380	"MW"	"Region"	18141.5318649696	45175	11918	-1497	0.656945625579342
1994	21545	22275	22964	11572	"MW"	"Region"	16752.8877979734	44509	10703	-1419	0.638874928852249
1993	21362	21696	22887	11031	"MW"	"Region"	16179.7204230604	44249	10665	-1525	0.659158484889488
1992	21490	20971	22724	10537	"MW"	"Region"	15608.3950332474	44214	10434	-1234	0.66848641245782
1991	21483	20571	22862	10199	"MW"	"Region"	15223.7305445935	44345	10372	-1379	0.681304754417337
1990	21415	20673	22856	10119	"MW"	"Region"	15224.2361591109	44271	10554	-1441	0.693236750251274
1989	21328	19964	22590	9143	"MW"	"Region"	14398.0272781092	43918	10821	-1262	0.751561293153839
1988	21344	19156	22551	8299	"MW"	"Region"	13578.2301628887	43895	10857	-1207	0.79958874387575
1987	21087	17915	22220	7826	"MW"	"Region"	12738.5255270511	43307	10089	-1133	0.792006891109601
1986	20640	17438	21957	7265	"MW"	"Region"	12194.2372702303	42597	10173	-1317	0.834246519446958
1985	20775	16377	21654	6853	"MW"	"Region"	11516.3458247896	42429	9524	-879	0.826998437255939
1984	20729	15689	21609	6527	"MW"	"Region"	11012.7834097029	42338	9162	-880	0.831942267376999
1983	20445	14870	21337	5964	"MW"	"Region"	10321.9333205687	41782	8906	-892	0.862822857250287
1982	20522	14590	21202	5612	"MW"	"Region"	10027.8401879014	41724	8978	-680	0.895307447243916
1981	20500	14192	21241	5262	"MW"	"Region"	9647.73584724851	41741	8930	-741	0.925605773353216
1980	20263	13340	21298	4788	"MW"	"Region"	8957.51411178749	41561	8552	-1035	0.954729168525242
1979	20491	12646	20960	4244	"MW"	"Region"	8397.4675158621	41451	8402	-469	1.00053974417041
1978	20318	11759	19238	4003	"MW"	"Region"	7986.88128223278	39556	7756	1080	0.971092435949137
1977	19850	10818	17397	3903	"MW"	"Region"	7588.20283512766	37247	6915	2453	0.911282967817987
1976	19703	10225	16861	3596	"MW"	"Region"	7168.12523246909	36564	6629	2842	0.924788530475577
1975	19220	9504	16281	3386	"MW"	"Region"	6698.24359877187	35501	6118	2939	0.913373768777497
1974	19393	9144	16034	3057	"MW"	"Region"	6389.06850707088	35427	6087	3359	0.952721041144484
1973	19279	8764	15201	2785	"MW"	"Region"	6128.07253480278	34480	5979	4078	0.975673829910438
1972	NA	8002	NA	2616	"MW"	"Region"	NA	NA	5386	NA	NA
1971	NA	7350	NA	2392	"MW"	"Region"	NA	NA	4958	NA	NA
1970	NA	7126	NA	2166	"MW"	"Region"	NA	NA	4960	NA	NA
1969	NA	7033	NA	1992	"MW"	"Region"	NA	NA	5041	NA	NA
1968	NA	6484	NA	1923	"MW"	"Region"	NA	NA	4561	NA	NA
1967	NA	5988	NA	1717	"MW"	"Region"	NA	NA	4271	NA	NA
1966	NA	5718	NA	1583	"MW"	"Region"	NA	NA	4135	NA	NA
1965	NA	5291	NA	1514	"MW"	"Region"	NA	NA	3777	NA	NA
1964	NA	5070	NA	1439	"MW"	"Region"	NA	NA	3631	NA	NA
1963	NA	4979	NA	1383	"MW"	"Region"	NA	NA	3596	NA	NA
1962	NA	4765	NA	1368	"MW"	"Region"	NA	NA	3397	NA	NA
1961	NA	4407	NA	1248	"MW"	"Region"	NA	NA	3159	NA	NA
1960	NA	4331	NA	1227	"MW"	"Region"	NA	NA	3104	NA	NA
1959	NA	4267	NA	1181	"MW"	"Region"	NA	NA	3086	NA	NA
1958	NA	3932	NA	1190	"MW"	"Region"	NA	NA	2742	NA	NA
1957	NA	3951	NA	1260	"MW"	"Region"	NA	NA	2691	NA	NA
1956	NA	3923	NA	1250	"MW"	"Region"	NA	NA	2673	NA	NA
1955	NA	3701	NA	1120	"MW"	"Region"	NA	NA	2581	NA	NA
1954	NA	3415	NA	1187	"MW"	"Region"	NA	NA	2228	NA	NA
1953	NA	3522	NA	1184	"MW"	"Region"	NA	NA	2338	NA	NA
2014	40008	35322	41575	21552	"South"	"Region"	28304.7568243384	81583	13770	-1567	0.486490666055099
2013	40223	32404	41611	20918	"South"	"Region"	26563.5920277635	81834	11486	-1388	0.432396341127177
2012	39330	32181	40271	21049	"South"	"Region"	26549.2017562593	79601	11132	-941	0.419296975562569
2011	38968	32116	39710	20830	"South"	"Region"	26419.7817433082	78678	11286	-742	0.427179910479715
2010	38243	31289	39240	20511	"South"	"Region"	25830.6579120581	77483	10778	-997	0.417256116228022
2009	37974	31047	38648	20261	"South"	"Region"	25606.5608571951	76622	10786	-674	0.421220173226398
2008	37859	31675	38521	20126	"South"	"Region"	25850.4513092433	76380	11549	-662	0.446762026002636
2007	37742	31887	37814	20337	"South"	"Region"	26106.4967970777	75556	11550	-72	0.442418609044968
2006	37141	31150	37636	19284	"South"	"Region"	25177.7254235928	74777	11866	-495	0.471289594288805
2005	36520	29984	37378	18011	"South"	"Region"	23927.993152724	73898	11973	-858	0.500376271573655
2004	36158	28781	36908	17168	"South"	"Region"	22914.8980647634	73066	11613	-750	0.506788202468922
2003	35654	27613	36262	16663	"South"	"Region"	22091.7126647756	71916	10950	-608	0.49566098229493
2002	35035	27524	36278	16223	"South"	"Region"	21775.0106432207	71313	11301	-1243	0.51898941337686
2001	34368	27345	35751	15927	"South"	"Region"	21523.3978950071	70119	11418	-1383	0.530492446206587
2000	34188	26606	35895	15528	"South"	"Region"	20932.0874962544	70083	11078	-1707	0.529235318836799
1999	34270	25918	35389	14724	"South"	"Region"	20231.0899668385	69659	11194	-1119	0.553306817296968
1998	33002	25297	34618	13977	"South"	"Region"	19501.7358769595	67620	11320	-1616	0.580461148249584
1997	32950	23896	34154	13036	"South"	"Region"	18368.5733190272	67104	10860	-1204	0.591227190668674
1996	32464	22234	33772	12357	"South"	"Region"	17197.9766290235	66236	9877	-1308	0.574311746844188
1995	31785	21162	33621	11589	"South"	"Region"	16241.1390239428	65406	9573	-1836	0.589429102594802
1994	31633	20343	33212	10939	"South"	"Region"	15526.5045415992	64845	9404	-1579	0.605673992804011
1993	31012	19714	32423	10557	"South"	"Region"	15033.6593205644	63435	9157	-1411	0.60909987413871
1992	30889	18590	32067	10146	"South"	"Region"	14289.0001270729	62956	8444	-1178	0.590944077605643
1991	30010	18474	31473	10053	"South"	"Region"	14163.3103296846	61483	8421	-1463	0.594564392361762
1990	29854	18429	31316	9417	"South"	"Region"	13815.3038744483	61170	9012	-1462	0.652320070691164
1989	29360	17852	31109	9049	"South"	"Region"	13323.1914038598	60469	8803	-1749	0.660727578938009
1988	29397	16773	30552	8424	"South"	"Region"	12518.0725116349	59949	8349	-1155	0.666955714806736
1987	28835	16344	30264	7983	"South"	"Region"	12062.4164875886	59099	8361	-1429	0.693144695227766
1986	28818	15466	29523	7286	"South"	"Region"	11326.5759243071	58341	8180	-705	0.722195309038236
1985	28213	14935	29090	6795	"South"	"Region"	10802.7102420467	57303	8140	-877	0.753514610464809
1984	27645	14209	28516	6694	"South"	"Region"	10393.2249959937	56161	7515	-871	0.723067190684013
1983	27205	13378	27819	6167	"South"	"Region"	9732.2670652806	55024	7211	-614	0.740937332651392
1982	26422	12820	27165	5678	"South"	"Region"	9199.48700244462	53587	7142	-743	0.776347637439144
1981	26235	12206	27071	5217	"South"	"Region"	8656.69562525794	53306	6989	-836	0.807351939186582
1980	26036	11420	26086	4753	"South"	"Region"	8083.3022140363	52122	6667	-50	0.824786680426602
1979	25644	10687	25667	4018	"South"	"Region"	7351.00532049658	51311	6669	-23	0.907222850377354
1978	24241	9863	22722	3723	"South"	"Region"	6892.29795796691	46963	6140	1519	0.890849472475676
1977	23643	8948	20998	3608	"South"	"Region"	6436.19874106763	44641	5340	2645	0.829682272849487
1976	23005	8348	20291	3338	"South"	"Region"	6000.02536031042	43296	5010	2714	0.83499647070505
1975	22722	7762	19595	3118	"South"	"Region"	5611.58338256493	42317	4644	3127	0.827573909786106
1974	22346	7323	18912	2799	"South"	"Region"	5249.27155945514	41258	4524	3434	0.861833865662988
1973	21741	6792	18091	2521	"South"	"Region"	4852.18625728058	39832	4271	3650	0.880221774997091
1972	NA	6354	NA	2362	"South"	"Region"	NA	NA	3992	NA	NA
1971	NA	5820	NA	2112	"South"	"Region"	NA	NA	3708	NA	NA
1970	NA	5601	NA	1982	"South"	"Region"	NA	NA	3619	NA	NA
1969	NA	5198	NA	1914	"South"	"Region"	NA	NA	3284	NA	NA
1968	NA	4816	NA	1790	"South"	"Region"	NA	NA	3026	NA	NA
1967	NA	4379	NA	1557	"South"	"Region"	NA	NA	2822	NA	NA
1966	NA	4025	NA	1387	"South"	"Region"	NA	NA	2638	NA	NA
1965	NA	3565	NA	1277	"South"	"Region"	NA	NA	2288	NA	NA
1964	NA	3510	NA	1180	"South"	"Region"	NA	NA	2330	NA	NA
1963	NA	3339	NA	1062	"South"	"Region"	NA	NA	2277	NA	NA
1962	NA	3150	NA	1020	"South"	"Region"	NA	NA	2130	NA	NA
1961	NA	3000	NA	967	"South"	"Region"	NA	NA	2033	NA	NA
1960	NA	2905	NA	961	"South"	"Region"	NA	NA	1944	NA	NA
1959	NA	2897	NA	929	"South"	"Region"	NA	NA	1968	NA	NA
1958	NA	2748	NA	883	"South"	"Region"	NA	NA	1865	NA	NA
1957	NA	2640	NA	903	"South"	"Region"	NA	NA	1737	NA	NA
1956	NA	2602	NA	872	"South"	"Region"	NA	NA	1730	NA	NA
1955	NA	2470	NA	840	"South"	"Region"	NA	NA	1630	NA	NA
1954	NA	2417	NA	888	"South"	"Region"	NA	NA	1529	NA	NA
1953	NA	2317	NA	900	"South"	"Region"	NA	NA	1417	NA	NA
2014	26128	35849	25363	22240	"West"	"Region"	29145.5942203492	51491	13609	765	0.466931636291646
2013	25932	36425	25180	22809	"West"	"Region"	29717.1646580059	51112	13616	752	0.45818637668489
2012	25518	33546	24481	21086	"West"	"Region"	27445.2127842557	49999	12460	1037	0.453995387026033
2011	24902	32211	24148	21209	"West"	"Region"	26794.5617533129	49050	11002	754	0.41060570802729
2010	24596	32428	23972	20767	"West"	"Region"	26672.4100642398	48568	11661	624	0.437193338431539
2009	24580	33191	23665	21131	"West"	"Region"	27275.36314644	48245	12060	915	0.4421572660738
2008	24999	35057	23615	21408	"West"	"Region"	28426.7878183239	48614	13649	1384	0.480145702259115
2007	24645	34609	23348	21673	"West"	"Region"	28315.7962411185	47993	12936	1297	0.456847474457212
2006	24236	32786	23118	20575	"West"	"Region"	26824.647252608	47354	12211	1118	0.455215678514199
2005	23850	31586	22820	18569	"West"	"Region"	25221.1416327405	46670	13017	1030	0.516114622785439
2004	23489	30659	22571	17957	"West"	"Region"	24434.5787668259	46060	12702	918	0.519837076841494
2003	23050	30426	22449	17499	"West"	"Region"	24047.8768983934	45499	12927	601	0.537552651929271
2002	22782	29094	22024	17283	"West"	"Region"	23288.4055706825	44806	11811	758	0.507162242780104
2001	22241	28683	21546	16980	"West"	"Region"	22924.3767099824	43787	11703	695	0.51050461035671
2000	22105	28250	21555	16383	"West"	"Region"	22391.2463353184	43660	11867	550	0.529983897380551
1999	21635	27053	21554	15548	"West"	"Region"	21311.2886846188	43189	11505	81	0.539854730056922
1998	21370	26358	21085	14672	"West"	"Region"	20554.2240018843	42455	11686	285	0.568544937475074
1997	21179	24832	20592	14002	"West"	"Region"	19493.0959756769	41771	10830	587	0.555581320356369
1996	21006	23395	20167	12831	"West"	"Region"	18220.6335948316	41173	10564	839	0.579782253181172
1995	20498	22314	19801	12457	"West"	"Region"	17470.7419290801	40299	9857	697	0.5642004237721
1994	20126	22029	19679	11797	"West"	"Region"	16970.4513754553	39805	10232	447	0.602930338953666
1993	19892	21536	19560	11568	"West"	"Region"	16593.9418026969	39452	9968	332	0.60070115458522
1992	19810	20999	19294	11345	"West"	"Region"	16235.6950695581	39104	9654	516	0.594615749965718
1991	19184	21572	18812	10976	"West"	"Region"	16325.8700915886	37996	10596	372	0.649031257786332
1990	18867	20989	18596	10467	"West"	"Region"	15766.057042949	37463	10522	271	0.667383098471389
1989	18478	20442	18345	10307	"West"	"Region"	15392.8031664992	36823	10135	133	0.658424582603496
1988	17928	19431	17771	9699	"West"	"Region"	14586.4000952408	35699	9732	157	0.667196836536477
1987	17903	18453	17705	8940	"West"	"Region"	13722.9487474725	35608	9513	198	0.6932183581719
1986	17306	18302	17270	8180	"West"	"Region"	13246.2694354466	34576	10122	36	0.764139673387126
1985	17124	17390	16776	8115	"West"	"Region"	12800.1061946903	33900	9275	348	0.724603363357052
1984	16525	16915	16462	7569	"West"	"Region"	12250.9246976081	32987	9346	63	0.76288118902769
1983	16022	15564	16106	6954	"West"	"Region"	11247.7443974104	32128	8610	-84	0.765486811914248
1982	15761	14619	15825	6605	"West"	"Region"	10603.880959919	31586	8014	-64	0.75576103035216
1981	15640	14600	15644	5974	"West"	"Region"	10286.4485359928	31284	8626	-4	0.83857902655296
1980	15384	13717	15501	5390	"West"	"Region"	9537.72763477416	30885	8327	-117	0.873059109975011
1979	15115	12352	15243	4717	"West"	"Region"	8518.4040780025	30358	7635	-128	0.896294649806087
1978	14137	11696	13459	4302	"West"	"Region"	8089.83077257574	27596	7394	678	0.913986980427999
1977	13881	10540	11862	4176	"West"	"Region"	7607.56135648526	25743	6364	2019	0.836536138426915
1976	13660	9826	11430	3690	"West"	"Region"	7030.68393782383	25090	6136	2230	0.872745817371964
1975	13208	9321	11116	3497	"West"	"Region"	6659.44828153264	24324	5824	2092	0.874546922475631
1974	12983	8742	10762	3211	"West"	"Region"	6235.17237313119	23745	5531	2221	0.887064489802138
1973	12308	8591	10220	2947	"West"	"Region"	6030.55610795455	22528	5644	2088	0.935900420950456
1972	NA	7977	NA	2649	"West"	"Region"	NA	NA	5328	NA	NA
1971	NA	7349	NA	2443	"West"	"Region"	NA	NA	4906	NA	NA
1970	NA	7124	NA	2279	"West"	"Region"	NA	NA	4845	NA	NA
1969	NA	7070	NA	2219	"West"	"Region"	NA	NA	4851	NA	NA
1968	NA	6688	NA	2192	"West"	"Region"	NA	NA	4496	NA	NA
1967	NA	6274	NA	1996	"West"	"Region"	NA	NA	4278	NA	NA
1966	NA	5980	NA	1757	"West"	"Region"	NA	NA	4223	NA	NA
1965	NA	5573	NA	1822	"West"	"Region"	NA	NA	3751	NA	NA
1964	NA	5278	NA	1534	"West"	"Region"	NA	NA	3744	NA	NA
1963	NA	5077	NA	1500	"West"	"Region"	NA	NA	3577	NA	NA
1962	NA	5106	NA	1452	"West"	"Region"	NA	NA	3654	NA	NA
1961	NA	5205	NA	1512	"West"	"Region"	NA	NA	3693	NA	NA
1960	NA	4930	NA	1442	"West"	"Region"	NA	NA	3488	NA	NA
1959	NA	4560	NA	1344	"West"	"Region"	NA	NA	3216	NA	NA
1958	NA	4330	NA	1292	"West"	"Region"	NA	NA	3038	NA	NA
1957	NA	4142	NA	1317	"West"	"Region"	NA	NA	2825	NA	NA
1956	NA	4142	NA	1265	"West"	"Region"	NA	NA	2877	NA	NA
1955	NA	3712	NA	1385	"West"	"Region"	NA	NA	2327	NA	NA
1954	NA	3463	NA	1097	"West"	"Region"	NA	NA	2366	NA	NA
1953	NA	3485	NA	1079	"West"	"Region"	NA	NA	2406	NA	NA
2014	108207	36936	110668	22701	"total"	"Marital_Status"	29738.4718218161	218875	14235	-2461	0.478672881555307
2013	107938	36368	110093	22534	"total"	"Marital_Status"	29382.6329558641	218031	13834	-2155	0.470822339876082
2012	105727	34993	107569	21889	"total"	"Marital_Status"	28384.4176730928	213296	13104	-1842	0.461661752265646
2011	104445	34111	106723	21437	"total"	"Marital_Status"	27705.6388562661	211168	12674	-2278	0.457452003390045
2010	103335	32909	105539	21144	"total"	"Marital_Status"	26964.4289428076	208874	11765	-2204	0.436315563179696
2009	103046	32917	104347	21352	"total"	"Marital_Status"	27098.2257163935	207393	11565	-1301	0.426780709594708
2008	103248	34414	104269	21320	"total"	"Marital_Status"	27834.7882438547	207517	13094	-1021	0.470418523945152
2007	102371	34639	102903	21429	"total"	"Marital_Status"	28016.8820990481	205274	13210	-532	0.471501430933631
2006	101423	33254	102245	20507	"total"	"Marital_Status"	26854.7766806764	203668	12747	-822	0.47466415943694
2005	100422	31898	101850	19231	"total"	"Marital_Status"	25519.7867524917	202272	12667	-1428	0.49635994700321
2004	99136	31146	100940	18346	"total"	"Marital_Status"	24688.2939283072	200076	12800	-1804	0.518464339300647
2003	98218	30571	100301	17856	"total"	"Marital_Status"	24146.7926697193	198519	12715	-2083	0.526570968406291
2002	97220	30170	99957	17303	"total"	"Marital_Status"	23647.1970412371	197177	12867	-2737	0.544123685253772
2001	96139	30144	99371	17122	"total"	"Marital_Status"	23525.365853409	195510	13022	-3232	0.553530180195391
2000	95556	29645	98987	16620	"total"	"Marital_Status"	23017.644222614	194543	13025	-3431	0.565870246061211
1999	94151	28375	98311	15813	"total"	"Marital_Status"	21958.2383431535	192462	12562	-4160	0.572085966264084
1998	92119	27234	95948	14977	"total"	"Marital_Status"	20980.7251777292	188067	12257	-3829	0.584202876505463
1997	91290	25936	94734	14281	"total"	"Marital_Status"	20000.6111792027	186024	11655	-3444	0.582732192310166
1996	90449	24806	93868	13379	"total"	"Marital_Status"	18986.5170657074	184317	11427	-3419	0.601848140996798
1995	89236	23524	93222	12565	"total"	"Marital_Status"	17924.7941663287	182458	10959	-3986	0.611387773734453
1994	88742	22321	92851	11807	"total"	"Marital_Status"	16945.04710534	181593	10514	-4109	0.620476292254548
1993	87673	21695	92141	11384	"total"	"Marital_Status"	16411.3966598819	179814	10311	-4468	0.628282906914652
1992	87376	21109	91142	11070	"total"	"Marital_Status"	15983.6090702338	178518	10039	-3766	0.628080926897516
1991	86022	21085	90211	10825	"total"	"Marital_Status"	15833.0616002678	176233	10260	-4189	0.648011121224113
1990	85393	20932	89652	10463	"total"	"Marital_Status"	15570.1399754349	175045	10469	-4259	0.672376742695763
1989	84605	20561	88658	10027	"total"	"Marital_Status"	15170.7933661543	173263	10534	-4053	0.694360521942187
1988	83565	19741	87768	9317	"total"	"Marital_Status"	14401.1435100068	171333	10424	-4203	0.72383140913475
1987	82527	18697	86649	8728	"total"	"Marital_Status"	13591.0518690594	169176	9969	-4122	0.733497311028208
1986	81284	17905	84999	7958	"total"	"Marital_Status"	12820.3848980353	166283	9947	-3715	0.775873741631921
1985	80384	17015	83708	7568	"total"	"Marital_Status"	12195.8163956805	164092	9447	-3324	0.774609890269088
1984	79021	16319	82724	7193	"total"	"Marital_Status"	11651.5343967356	161745	9126	-3703	0.783244480019457
1983	77785	15334	81066	6629	"total"	"Marital_Status"	10891.6009593896	158851	8705	-3281	0.79923971071447
1982	76651	14667	79735	6176	"total"	"Marital_Status"	10337.7768917934	156386	8491	-3084	0.821356476240125
1981	76172	14296	79018	5749	"total"	"Marital_Status"	9944.12909336942	155190	8547	-2846	0.859502116248571
