"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"5125","El Paso","TX","79915-1006",-106.3895,31.7763,"Tri-State Cosmetology Institute",3699,1637,NA,22765.61,"NULL","17918","NULL","NULL","15900","NULL","14013",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","144","0.94999998807907",0.43999999761581,73.2799987792968,"2.60999989509582","0.86000001430511","79.5400009155273","71.0699996948242","20.4099998474121",5516,"5546.5",12.6
"859","Gainesville","FL","32611",-82.3612,29.6382,"University of Florida",7411,15167,10498,64142.77,"20456","NULL","6263","28541","NULL","12582","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.4655","0.4655","690","30","32346","0.56000000238418",0.05000000074505,78.8399963378906,"13.539999961853","2.40000009536743","14.9399995803833","81.8199996948242","8.72999954223632",14546,"15132.5",3.6
"3749","Clinton","SC","29325",-81.8744,34.4657,"Presbyterian College",15548,10252,7217,96598.95,"45130","NULL","33650","33650","NULL","NULL","17681",3,3,"3",2,"66","0","0","0","0","0","0","0","0.66","0.66","610","NULL","1069","0.49000000953674",0.00999999977648,74.8600006103515,"21.1399993896484","1.44000005722045","2.99000000953674","94.7200012207031","8.14000034332275",18797,"25000",6.2
"4754","Gladstone","MO","64118",-94.5761,39.2184,"Paris II Educational Center",4642,1749,NA,34261.79,"NULL","14581","NULL","NULL","12800","NULL","10380",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","94","0.9200000166893",0.2199999988079,81.620002746582,"11.0100002288818","1.83000004291534","5.82999992370605","94.4599990844726","7.48999977111816",7000,"7917",33.3
"4512","Mayaguez","PR","00681-1108",-67.142,18.2016,"ICPR Junior College-Mayaguez",972,1886,2382,8883,"11053","NULL","6504","6504","NULL","NULL","6282",2,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","596","0.58999997377395",0.17000000178813,82.8899993896484,"6.59999990463257","0.25","98.7600021362304","89.9000015258789","45.7599983215332",NA,"NULL",55
"4067","Alpine","TX","79832",-103.6506,30.3629,"Sul Ross State University",5807,6455,6180,34295.12,"17254","NULL","5436","13932","NULL","11064","NULL",4,3,"3",1,"NULL","0","0","0","0","0","1","0","0.522","0.522","500","20","2000","0.56000000238418",0.20999999344348,75.8199996948242,"3.4300000667572","0.75999999046325","61.7299995422363","80.2399978637695","20.6000003814697",10250,"16728",15.4
"2841","New Paltz","NY","12561-2443",-74.0887,41.7372,"State University of New York at New Paltz",5708,10228,6719,73261.15,"20428","NULL","7083","16533","NULL","15479","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.4359","0.4359","610","26","6397","0.69999998807907",0.03999999910593,80.0100021362304,"9.48999977111816","3.26999998092651","10.9099998474121","85.1900024414062","8.14999961853027",17500,"20500",4.6
"6123","Saint Louis Park","MN","55426-4915",-93.4048,44.9752,"University of Phoenix-Minneapolis St Paul Campus",13846,3334,1587,47023.93,"25594","NULL","12400","12400","NULL","NULL","20332",4,3,"3",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","153","0.6700000166893",0.44999998807907,69.4700012207031,"15.369999885559","4.13999986648559","16.2299995422363","86.6999969482422","9.60000038146972",18532,"35500",19
"2201","Clinton","MS","39058",-90.3305,32.3346,"Mississippi College",11945,8024,7079,54620.08,"25976","NULL","14868","14868","NULL","NULL","15708",4,3,"3",2,"75","0","0","0","0","0","0","0","0.673","0.673","583","25","2895","0.63999998569488",0.15999999642372,62.1199989318847,"35.4500007629394","0.85000002384185","1.64999997615814","97.6999969482422","13.2100000381469",16625,"26250",5.9
"7264","Bayamon","PR","00957-0000",-66.1872,18.3705,"American Technical Institute",3041,4826,NA,NA,"NULL","6368","NULL","NULL","9150","NULL","2134",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","6","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",0
