Made 1ft jumper 9:22 in 1st Qtr.,40082809721,true,Thabo Sefolosha,3028,1,h,24,87,400828097
Miss 12ft jumper 9:07 in 1st Qtr.,40082809725,false,Jared Sullinger,6624,1,a,26,18,400828097
Miss 8ft jumper 9:03 in 1st Qtr.,40082809727,false,Jae Crowder,6581,1,a,25,-2,400828097
Made 19ft jumper 8:47 in 1st Qtr.,40082809729,true,Al Horford,3213,1,h,17,71,400828097
Miss 23ft jumper 8:32 in 1st Qtr.,40082809730,false,Jae Crowder,6581,1,a,2,8,400828097
Made 1ft jumper 8:19 in 1st Qtr.,40082809732,true,Al Horford,3213,1,h,25,87,400828097
Miss 1ft jumper 7:58 in 1st Qtr.,40082809735,false,Isaiah Thomas,6472,1,a,26,6,400828097
Miss 0ft jumper 7:54 in 1st Qtr.,40082809736,false,Amir Johnson,2769,1,a,25,6,400828097
Miss 23ft jumper 7:46 in 1st Qtr.,40082809739,false,Al Horford,3213,1,h,48,87,400828097
Made 1ft jumper 7:28 in 1st Qtr.,40082809742,true,Paul Millsap,3015,1,h,26,87,400828097
Made 19ft jumper 7:13 in 1st Qtr.,40082809743,true,Avery Bradley,4240,1,a,23,25,400828097
Miss 25ft jumper 7:01 in 1st Qtr.,40082809744,false,Al Horford,3213,1,h,19,64,400828097
Made 25ft 3-pointer 6:45 in 1st Qtr.,40082809747,true,Avery Bradley,4240,1,a,41,25,400828097
Made 7ft jumper 6:26 in 1st Qtr.,40082809748,true,Thabo Sefolosha,3028,1,h,19,85,400828097
Made 25ft 3-pointer 5:52 in 1st Qtr.,40082809759,true,Mike Muscala,2490089,1,h,44,72,400828097
Miss 25ft jumper 5:33 in 1st Qtr.,40082809760,false,Kelly Olynyk,2489663,1,a,34,29,400828097
Made 24ft 3-pointer 5:11 in 1st Qtr.,40082809767,true,Isaiah Thomas,6472,1,a,5,20,400828097
Miss 17ft jumper 4:58 in 1st Qtr.,40082809768,false,Jeff Teague,4015,1,h,8,87,400828097
Made 0ft jumper 4:45 in 1st Qtr.,40082809771,true,Avery Bradley,4240,1,a,25,6,400828097
Made 1ft jumper 4:11 in 1st Qtr.,40082809778,true,Kyle Korver,2011,1,h,26,88,400828097
Miss 1ft jumper 3:54 in 1st Qtr.,40082809779,false,Isaiah Thomas,6472,1,a,24,6,400828097
Miss 0ft jumper 3:50 in 1st Qtr.,40082809781,false,Jared Sullinger,6624,1,a,25,6,400828097
Miss 1ft jumper 3:39 in 1st Qtr.,40082809783,false,Kelly Olynyk,2489663,1,a,26,7,400828097
Made 11ft jumper 3:24 in 1st Qtr.,40082809785,true,Paul Millsap,3015,1,h,20,78,400828097
Miss 2ft jumper 3:04 in 1st Qtr.,40082809792,false,Evan Turner,4239,1,a,23,6,400828097
Made 23ft 3-pointer 2:59 in 1st Qtr.,40082809794,true,Lamar Patterson,2488721,1,h,2,87,400828097
Miss 24ft jumper 2:38 in 1st Qtr.,40082809796,false,Dennis Schroder,3032979,1,h,10,69,400828097
Made 2ft jumper 2:19 in 1st Qtr.,40082809798,true,Kelly Olynyk,2489663,1,a,23,5,400828097
Miss 2ft jumper 2:09 in 1st Qtr.,40082809799,false,Dennis Schroder,3032979,1,h,23,88,400828097
Miss 25ft jumper 1:53 in 1st Qtr.,400828097108,false,Lamar Patterson,2488721,1,h,37,66,400828097
Made 25ft 3-pointer 1:42 in 1st Qtr.,400828097110,true,Avery Bradley,4240,1,a,8,25,400828097
Miss 25ft jumper 1:20 in 1st Qtr.,400828097112,false,Avery Bradley,4240,1,a,31,30,400828097
Made 1ft jumper 1:15 in 1st Qtr.,400828097114,true,Mike Scott,6622,1,h,25,89,400828097
Miss 1ft jumper 0:26 in 1st Qtr.,400828097121,false,Evan Turner,4239,1,a,25,7,400828097
Made 25ft 3-pointer 0:02 in 1st Qtr.,400828097124,true,R.J. Hunter,2983727,1,a,7,24,400828097
Miss 2ft jumper 0:00 in 1st Qtr.,400828097125,false,Dennis Schroder,3032979,1,h,27,88,400828097
Miss 25ft jumper 11:44 in 2nd Qtr.,400828097130,false,Tim Hardaway Jr.,2528210,2,h,9,69,400828097
Miss 25ft jumper 11:00 in 2nd Qtr.,400828097136,false,Dennis Schroder,3032979,2,h,18,64,400828097
Miss 23ft jumper 10:44 in 2nd Qtr.,400828097138,false,R.J. Hunter,2983727,2,a,48,7,400828097
Miss 21ft jumper 10:08 in 2nd Qtr.,400828097147,false,Jae Crowder,6581,2,a,13,23,400828097
Made 10ft jumper 10:02 in 2nd Qtr.,400828097149,true,R.J. Hunter,2983727,2,a,35,6,400828097
Miss 14ft jumper 9:44 in 2nd Qtr.,400828097150,false,Mike Scott,6622,2,h,11,88,400828097
Miss 16ft jumper 9:33 in 2nd Qtr.,400828097152,false,Jonas Jerebko,3998,2,a,9,8,400828097
Made 2ft jumper 9:22 in 2nd Qtr.,400828097154,true,Thabo Sefolosha,3028,2,h,27,88,400828097
Miss 22ft jumper 9:14 in 2nd Qtr.,400828097155,false,Jae Crowder,6581,2,a,36,25,400828097
Miss 2ft jumper 8:59 in 2nd Qtr.,400828097158,false,Dennis Schroder,3032979,2,h,27,88,400828097
Miss 23ft jumper 8:45 in 2nd Qtr.,400828097161,false,Jae Crowder,6581,2,a,48,10,400828097
Made 22ft 3-pointer 8:26 in 2nd Qtr.,400828097170,true,Mike Scott,6622,2,h,3,88,400828097
Made 8ft jumper 8:11 in 2nd Qtr.,400828097171,true,David Lee,2772,2,a,19,11,400828097
Made 25ft 3-pointer 7:46 in 2nd Qtr.,400828097180,true,R.J. Hunter,2983727,2,a,36,28,400828097
Made 22ft jumper 7:03 in 2nd Qtr.,400828097183,true,Kyle Korver,2011,2,h,34,68,400828097
Made 1ft jumper 6:43 in 2nd Qtr.,400828097184,true,David Lee,2772,2,a,25,7,400828097
Miss 20ft jumper 6:33 in 2nd Qtr.,400828097187,false,Evan Turner,4239,2,a,9,18,400828097
Miss 17ft jumper 6:16 in 2nd Qtr.,400828097189,false,David Lee,2772,2,a,32,22,400828097
Made 0ft jumper 5:54 in 2nd Qtr.,400828097192,true,Jae Crowder,6581,2,a,25,6,400828097
Made 2ft jumper 5:28 in 2nd Qtr.,400828097193,true,Paul Millsap,3015,2,h,26,86,400828097
Miss 7ft jumper 5:11 in 2nd Qtr.,400828097201,false,Jae Crowder,6581,2,a,32,7,400828097
Made 25ft 3-pointer 5:05 in 2nd Qtr.,400828097203,true,Avery Bradley,4240,2,a,42,24,400828097
Miss 1ft jumper 4:39 in 2nd Qtr.,400828097204,false,Paul Millsap,3015,2,h,26,87,400828097
Miss 19ft jumper 4:22 in 2nd Qtr.,400828097206,false,Isaiah Thomas,6472,2,a,9,17,400828097
Miss 19ft jumper 4:11 in 2nd Qtr.,400828097208,false,Kyle Korver,2011,2,h,27,69,400828097
Made 20ft jumper 3:13 in 2nd Qtr.,400828097213,true,Avery Bradley,4240,2,a,31,25,400828097
Made 7ft jumper 2:38 in 2nd Qtr.,400828097221,true,David Lee,2772,2,a,25,13,400828097
Made 19ft jumper 2:08 in 2nd Qtr.,400828097226,true,Al Horford,3213,2,h,25,69,400828097
Miss 18ft jumper 1:50 in 2nd Qtr.,400828097227,false,Jae Crowder,6581,2,a,7,7,400828097
Made 17ft jumper 1:37 in 2nd Qtr.,400828097229,true,Paul Millsap,3015,2,h,9,82,400828097
Miss 8ft jumper 1:16 in 2nd Qtr.,400828097234,false,Avery Bradley,4240,2,a,18,10,400828097
Made 23ft 3-pointer 0:57 in 2nd Qtr.,400828097236,true,Jeff Teague,4015,2,h,2,87,400828097
Miss 23ft jumper 0:39 in 2nd Qtr.,400828097237,false,Isaiah Thomas,6472,2,a,2,9,400828097
Miss 2ft jumper 0:26 in 2nd Qtr.,400828097239,false,Jeff Teague,4015,2,h,23,87,400828097
Miss 17ft jumper 0:01 in 2nd Qtr.,400828097241,false,Avery Bradley,4240,2,a,23,23,400828097
Miss 20ft jumper 11:22 in 3rd Qtr.,400828097250,false,Jared Sullinger,6624,3,a,37,22,400828097
Miss 18ft jumper 11:07 in 3rd Qtr.,400828097252,false,Kyle Korver,2011,3,h,22,70,400828097
Made 1ft jumper 10:59 in 3rd Qtr.,400828097255,true,Al Horford,3213,3,h,26,88,400828097
Miss 23ft jumper 10:27 in 3rd Qtr.,400828097258,false,Avery Bradley,4240,3,a,48,9,400828097
Made 25ft 3-pointer 9:53 in 3rd Qtr.,400828097268,true,Isaiah Thomas,6472,3,a,34,29,400828097
Miss 15ft jumper 9:37 in 3rd Qtr.,400828097270,false,Al Horford,3213,3,h,13,79,400828097
Made 0ft jumper 9:34 in 3rd Qtr.,400828097272,true,Paul Millsap,3015,3,h,25,88,400828097
Miss 18ft jumper 9:18 in 3rd Qtr.,400828097273,false,Avery Bradley,4240,3,a,32,23,400828097
Miss 1ft jumper 9:17 in 3rd Qtr.,400828097274,false,Amir Johnson,2769,3,a,25,5,400828097
